,0,1,2,3,4,5,6,7,8,9
5546,Schindler's List (1993),Raiders of the Lost Ark (1981),"Princess Bride, The (1987)","Usual Suspects, The (1995)","Postino, Il (The Postman) (1994)",Good Will Hunting (1997),West Side Story (1961),Singin' in the Rain (1952),Forrest Gump (1994),"Few Good Men, A (1992)"
5547,Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),Fargo (1996),Schindler's List (1993),American Beauty (1999),"Shawshank Redemption, The (1994)",Being John Malkovich (1999),"Usual Suspects, The (1995)","Silence of the Lambs, The (1991)",Election (1999)
5548,"Sixth Sense, The (1999)",Some Like It Hot (1959),"Sting, The (1973)",Raiders of the Lost Ark (1981),"Untouchables, The (1987)","Godfather, The (1972)",Dog Day Afternoon (1975),American Beauty (1999),Alien (1979),Body Heat (1981)
5549,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),"Sixth Sense, The (1999)",American History X (1998),"Silence of the Lambs, The (1991)",Braveheart (1995),"Great Escape, The (1963)",Raiders of the Lost Ark (1981)
5550,"Godfather, The (1972)",Double Indemnity (1944),Chinatown (1974),Blade Runner (1982),Touch of Evil (1958),M (1931),Strangers on a Train (1951),"Silence of the Lambs, The (1991)","Manchurian Candidate, The (1962)",L.A. Confidential (1997)
5551,Being John Malkovich (1999),Cool Hand Luke (1967),Taxi Driver (1976),Butch Cassidy and the Sundance Kid (1969),"Gold Rush, The (1925)","Postino, Il (The Postman) (1994)",On the Town (1949),Shallow Grave (1994),Diner (1982),Like Water for Chocolate (Como agua para chocolate) (1992)
5552,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Braveheart (1995),"Matrix, The (1999)",Rear Window (1954)
5553,Schindler's List (1993),"Sixth Sense, The (1999)",Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)",Blade Runner (1982),American Beauty (1999),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Star Wars: Episode V - The Empire Strikes Back (1980),Aliens (1986),Alien (1979)
5554,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),"Sixth Sense, The (1999)",Raiders of the Lost Ark (1981),"Godfather, The (1972)",Braveheart (1995),"Matrix, The (1999)"
5555,Blade Runner (1982),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Casablanca (1942),"Wrong Trousers, The (1993)",Roman Holiday (1953),One Flew Over the Cuckoo's Nest (1975),"Wizard of Oz, The (1939)",Cinema Paradiso (1988),"Grand Day Out, A (1992)","Postino, Il (The Postman) (1994)"
5556,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Schindler's List (1993),Blade Runner (1982),Casablanca (1942),"Godfather, The (1972)","Shawshank Redemption, The (1994)",One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),Fargo (1996),Citizen Kane (1941)
5557,"Shawshank Redemption, The (1994)",Star Wars: Episode IV - A New Hope (1977),"Silence of the Lambs, The (1991)",Raiders of the Lost Ark (1981),"Close Shave, A (1995)","Matrix, The (1999)","Wrong Trousers, The (1993)","Princess Bride, The (1987)",Lawrence of Arabia (1962),Star Wars: Episode V - The Empire Strikes Back (1980)
5558,Schindler's List (1993),"Shawshank Redemption, The (1994)",American Beauty (1999),Fargo (1996),"Silence of the Lambs, The (1991)",North by Northwest (1959),L.A. Confidential (1997),"Postino, Il (The Postman) (1994)",Pulp Fiction (1994),Glengarry Glen Ross (1992)
5559,"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)","Matrix, The (1999)","Fugitive, The (1993)",Toy Story 2 (1999),Young Frankenstein (1974),"Sting, The (1973)",Forrest Gump (1994),Die Hard (1988),Guess Who's Coming to Dinner (1967)
5560,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)","Matrix, The (1999)","Usual Suspects, The (1995)",Braveheart (1995),American Beauty (1999),"Fugitive, The (1993)",Forrest Gump (1994)
5561,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Sixth Sense, The (1999)",Braveheart (1995),"Princess Bride, The (1987)",It's a Wonderful Life (1946),Casablanca (1942),"Christmas Story, A (1983)",Forrest Gump (1994),Life Is Beautiful (La Vita è bella) (1997)
5562,Schindler's List (1993),"Silence of the Lambs, The (1991)","Wizard of Oz, The (1939)",Life Is Beautiful (La Vita è bella) (1997),American Beauty (1999),Toy Story 2 (1999),Forrest Gump (1994),Toy Story (1995),Good Will Hunting (1997),Shakespeare in Love (1998)
5563,North by Northwest (1959),Seven Days in May (1964),Being John Malkovich (1999),Butch Cassidy and the Sundance Kid (1969),Brazil (1985),"Sixth Sense, The (1999)","Gold Rush, The (1925)","Postino, Il (The Postman) (1994)",Modern Times (1936),"Professional, The (a.k.a. Leon: The Professional) (1994)"
5564,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Close Shave, A (1995)",Rear Window (1954),"Wrong Trousers, The (1993)","Matrix, The (1999)",Braveheart (1995),Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977)
5565,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Lawrence of Arabia (1962),Casablanca (1942),Rear Window (1954),Schindler's List (1993),Being John Malkovich (1999),Midnight Cowboy (1969),To Kill a Mockingbird (1962),Strangers on a Train (1951),Kagemusha (1980)
5566,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),"Godfather, The (1972)",Citizen Kane (1941),Rear Window (1954),Double Indemnity (1944),"Third Man, The (1949)",Chinatown (1974),"Streetcar Named Desire, A (1951)",Schindler's List (1993),One Flew Over the Cuckoo's Nest (1975)
5567,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Sixth Sense, The (1999)",Braveheart (1995),"Matrix, The (1999)",Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Princess Bride, The (1987)",Die Hard (1988),"Hunt for Red October, The (1990)"
5568,Schindler's List (1993),"Close Shave, A (1995)",Cinema Paradiso (1988),"Christmas Story, A (1983)",Star Wars: Episode IV - A New Hope (1977),"Wrong Trousers, The (1993)","Matrix, The (1999)","Princess Bride, The (1987)",Casablanca (1942),"Wizard of Oz, The (1939)"
5569,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Silence of the Lambs, The (1991)","Godfather, The (1972)","Close Shave, A (1995)",Star Wars: Episode IV - A New Hope (1977),"Wrong Trousers, The (1993)",Raiders of the Lost Ark (1981),"Matrix, The (1999)",Casablanca (1942)
5570,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Citizen Kane (1941),"Godfather, The (1972)",Casablanca (1942),Chinatown (1974),"Third Man, The (1949)","Seventh Seal, The (Sjunde inseglet, Det) (1957)",One Flew Over the Cuckoo's Nest (1975),Fargo (1996)
5571,Schindler's List (1993),Casablanca (1942),"Shawshank Redemption, The (1994)",One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),"Silence of the Lambs, The (1991)",Fargo (1996),"Usual Suspects, The (1995)","Christmas Story, A (1983)",Saving Private Ryan (1998)
5572,Lawrence of Arabia (1962),Casablanca (1942),Rear Window (1954),"Godfather, The (1972)","Third Man, The (1949)",Citizen Kane (1941),Chinatown (1974),One Flew Over the Cuckoo's Nest (1975),Fargo (1996),American Beauty (1999)
5573,Blade Runner (1982),Casablanca (1942),"Wizard of Oz, The (1939)",West Side Story (1961),Cinema Paradiso (1988),Doctor Zhivago (1965),Singin' in the Rain (1952),L.A. Confidential (1997),"Crying Game, The (1992)","African Queen, The (1951)"
5574,Star Wars: Episode IV - A New Hope (1977),"Sixth Sense, The (1999)","Wrong Trousers, The (1993)","Sting, The (1973)",Forrest Gump (1994),Butch Cassidy and the Sundance Kid (1969),American Beauty (1999),"Grand Day Out, A (1992)",Monty Python and the Holy Grail (1974),"Maltese Falcon, The (1941)"
5575,"Shawshank Redemption, The (1994)",Schindler's List (1993),It's a Wonderful Life (1946),"Matrix, The (1999)","Silence of the Lambs, The (1991)",My Fair Lady (1964),Apollo 13 (1995),Henry V (1989),Philadelphia (1993),Braveheart (1995)
5576,Seven Days in May (1964),One Flew Over the Cuckoo's Nest (1975),L.A. Confidential (1997),"Man with the Golden Arm, The (1955)",Blazing Saddles (1974),White Christmas (1954),"Man with the Golden Gun, The (1974)","Long Walk Home, The (1990)",Romeo and Juliet (1968),Fallen (1998)
5577,Saving Private Ryan (1998),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)","Christmas Story, A (1983)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),Glory (1989),"Godfather, The (1972)","Matrix, The (1999)","Princess Bride, The (1987)"
5578,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)","Godfather, The (1972)",To Kill a Mockingbird (1962),"Wizard of Oz, The (1939)",GoodFellas (1990),E.T. the Extra-Terrestrial (1982),"Bug's Life, A (1998)"
5579,"Shawshank Redemption, The (1994)",Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Schindler's List (1993),"Sixth Sense, The (1999)","Face in the Crowd, A (1957)",Kagemusha (1980),"Silence of the Lambs, The (1991)",It's a Wonderful Life (1946),Inherit the Wind (1960),Dersu Uzala (1974)
5580,"Matrix, The (1999)","Fugitive, The (1993)","Princess Bride, The (1987)",Die Hard (1988),Gladiator (2000),Star Wars: Episode V - The Empire Strikes Back (1980),"Godfather, The (1972)",In the Line of Fire (1993),Star Wars: Episode VI - Return of the Jedi (1983),Lethal Weapon (1987)
5581,City Lights (1931),"Streetcar Named Desire, A (1951)",It Happened One Night (1934),Roman Holiday (1953),Double Indemnity (1944),Some Like It Hot (1959),"Third Man, The (1949)","Palm Beach Story, The (1942)","Philadelphia Story, The (1940)",To Kill a Mockingbird (1962)
5582,"Shawshank Redemption, The (1994)",Saving Private Ryan (1998),Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),"Sixth Sense, The (1999)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),Braveheart (1995),"Matrix, The (1999)",Glory (1989),"Godfather, The (1972)"
5583,"Postino, Il (The Postman) (1994)",Being John Malkovich (1999),Young Frankenstein (1974),Alien (1979),Like Water for Chocolate (Como agua para chocolate) (1992),"Adventures of Priscilla, Queen of the Desert, The (1994)","King of Masks, The (Bian Lian) (1996)","Shining, The (1980)","Insider, The (1999)",Laura (1944)
5584,"Godfather, The (1972)",Casablanca (1942),Rear Window (1954),Citizen Kane (1941),Paths of Glory (1957),Blade Runner (1982),"Shawshank Redemption, The (1994)",Chinatown (1974),American Beauty (1999),Fargo (1996)
5585,"Shawshank Redemption, The (1994)",American Beauty (1999),Fargo (1996),"Silence of the Lambs, The (1991)",L.A. Confidential (1997),Saving Private Ryan (1998),Paris Is Burning (1990),Hoop Dreams (1994),Election (1999),"Crying Game, The (1992)"
5586,Saving Private Ryan (1998),American History X (1998),Braveheart (1995),Apollo 13 (1995),October Sky (1999),"Fugitive, The (1993)",Life Is Beautiful (La Vita è bella) (1997),Good Will Hunting (1997),"Hunt for Red October, The (1990)",Toy Story (1995)
5587,Citizen Kane (1941),"Godfather, The (1972)","Streetcar Named Desire, A (1951)",Fargo (1996),American Beauty (1999),To Kill a Mockingbird (1962),"Silence of the Lambs, The (1991)",Three Colors: Red (1994),Cool Hand Luke (1967),"Christmas Story, A (1983)"
5588,Rear Window (1954),Chinatown (1974),"Maltese Falcon, The (1941)",L.A. Confidential (1997),"Thin Man, The (1934)",High Fidelity (2000),Lone Star (1996),"Double Life of Veronique, The (La Double Vie de Véronique) (1991)",Burnt By the Sun (Utomlyonnye solntsem) (1994),Three Kings (1999)
5589,Schindler's List (1993),"Shawshank Redemption, The (1994)",Hands on a Hard Body (1996),American Beauty (1999),"Silence of the Lambs, The (1991)","Boat, The (Das Boot) (1981)",Dersu Uzala (1974),"Thin Blue Line, The (1988)",When We Were Kings (1996),Hoop Dreams (1994)
5590,"Streetcar Named Desire, A (1951)",Fargo (1996),Being John Malkovich (1999),"Manchurian Candidate, The (1962)",This Is Spinal Tap (1984),Singin' in the Rain (1952),Amadeus (1984),"Clockwork Orange, A (1971)",2001: A Space Odyssey (1968),GoodFellas (1990)
5591,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Saving Private Ryan (1998),"Great Escape, The (1963)","Christmas Story, A (1983)","Silence of the Lambs, The (1991)","Sixth Sense, The (1999)",Casablanca (1942),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Blade Runner (1982),"Godfather, The (1972)"
5592,Schindler's List (1993),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)","Great Escape, The (1963)",Rear Window (1954),"Matrix, The (1999)",Raiders of the Lost Ark (1981),"Fugitive, The (1993)",Star Wars: Episode IV - A New Hope (1977),"Sting, The (1973)"
5593,Citizen Kane (1941),"Godfather, The (1972)",Casablanca (1942),Lawrence of Arabia (1962),Chinatown (1974),Schindler's List (1993),"Streetcar Named Desire, A (1951)",One Flew Over the Cuckoo's Nest (1975),"Maltese Falcon, The (1941)",Fargo (1996)
5594,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather, The (1972)",American Beauty (1999),Blade Runner (1982),Being John Malkovich (1999),Fight Club (1999),Election (1999),Brazil (1985),Star Wars: Episode IV - A New Hope (1977),Saving Private Ryan (1998)
5595,Schindler's List (1993),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Blade Runner (1982),Casablanca (1942),Rear Window (1954),"Last Emperor, The (1987)","Wizard of Oz, The (1939)",Fargo (1996),"Wrong Trousers, The (1993)","Shawshank Redemption, The (1994)"
5596,Schindler's List (1993),"Close Shave, A (1995)",Some Like It Hot (1959),Casablanca (1942),To Kill a Mockingbird (1962),"Christmas Story, A (1983)","Maltese Falcon, The (1941)",Blade Runner (1982),"Silence of the Lambs, The (1991)",Singin' in the Rain (1952)
5597,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)",Braveheart (1995),Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)","Christmas Story, A (1983)",Forrest Gump (1994)
5598,Saving Private Ryan (1998),"Sixth Sense, The (1999)",Braveheart (1995),Forrest Gump (1994),"Fugitive, The (1993)",American Beauty (1999),"Boat, The (Das Boot) (1981)",Gladiator (2000),"Maltese Falcon, The (1941)",Run Lola Run (Lola rennt) (1998)
5599,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Sixth Sense, The (1999)","Christmas Story, A (1983)",My Fair Lady (1964),"Wizard of Oz, The (1939)",Blade Runner (1982),"Silence of the Lambs, The (1991)",To Kill a Mockingbird (1962),Young Frankenstein (1974)
5600,"Godfather, The (1972)",Rear Window (1954),Chinatown (1974),"Close Shave, A (1995)",Fargo (1996),"Usual Suspects, The (1995)",Blade Runner (1982),"Silence of the Lambs, The (1991)",North by Northwest (1959),"Thin Blue Line, The (1988)"
5601,Schindler's List (1993),"Wrong Trousers, The (1993)","Godfather, The (1972)",Being John Malkovich (1999),American Beauty (1999),Fight Club (1999),L.A. Confidential (1997),Saving Private Ryan (1998),Wallace & Gromit: The Best of Aardman Animation (1996),"Crying Game, The (1992)"
5602,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather, The (1972)",Casablanca (1942),Lawrence of Arabia (1962),Schindler's List (1993),Paths of Glory (1957),American Beauty (1999),"Silence of the Lambs, The (1991)","Boat, The (Das Boot) (1981)","African Queen, The (1951)"
5603,"Shawshank Redemption, The (1994)",Schindler's List (1993),Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",American History X (1998),Lawrence of Arabia (1962),Cinema Paradiso (1988),"Matrix, The (1999)",Casablanca (1942)
5604,Rear Window (1954),Schindler's List (1993),City Lights (1931),"Shawshank Redemption, The (1994)",Lawrence of Arabia (1962),American Beauty (1999),"Silence of the Lambs, The (1991)","Usual Suspects, The (1995)",North by Northwest (1959),Fargo (1996)
5605,"Shawshank Redemption, The (1994)",Star Wars: Episode IV - A New Hope (1977),North by Northwest (1959),Forrest Gump (1994),Love Jones (1997),Much Ado About Nothing (1993),Grease (1978),"American President, The (1995)",Sense and Sensibility (1995),American Beauty (1999)
5606,American Beauty (1999),"Christmas Story, A (1983)",Young Frankenstein (1974),Being John Malkovich (1999),Monty Python and the Holy Grail (1974),This Is Spinal Tap (1984),Toy Story 2 (1999),Strictly Ballroom (1992),Election (1999),Annie Hall (1977)
5607,"Shawshank Redemption, The (1994)",American Beauty (1999),Fargo (1996),North by Northwest (1959),"Christmas Story, A (1983)",Apocalypse Now (1979),Boys Don't Cry (1999),GoodFellas (1990),Pulp Fiction (1994),"Graduate, The (1967)"
5608,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),City Lights (1931),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Casablanca (1942),Citizen Kane (1941),"Godfather, The (1972)",One Flew Over the Cuckoo's Nest (1975),Yojimbo (1961),To Kill a Mockingbird (1962)
